,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Colombia,10.9878,-74.9547,87.66,74,99,20.36,CO,1620848237
1,Yumen,40.2833,97.2,58.86,25,62,10.47,CN,1620848237
2,Anchorage,61.2181,-149.9003,48.16,53,1,0.0,US,1620848168
3,Nikolskoye,59.7035,30.7861,64.02,72,1,3.85,RU,1620848238
4,Cabo San Lucas,22.8909,-109.9124,90.12,37,20,8.05,MX,1620848211
5,Vaini,-21.2,-175.2,71.37,94,20,6.91,TO,1620848239
6,Panzhihua,26.5851,101.7128,66.27,68,97,1.77,CN,1620848239
7,Dubbo,-32.25,148.6167,36.07,93,40,2.3,AU,1620848240
8,Lebu,-37.6167,-73.65,57.47,72,0,12.15,CL,1620848240
9,Mataura,-46.1927,168.8643,29.39,90,44,2.3,NZ,1620848240
10,Dikson,73.5069,80.5464,22.91,98,92,9.6,RU,1620848241
11,Barrow,71.2906,-156.7887,13.98,85,90,14.97,US,1620848241
12,Alofi,-19.0595,-169.9187,74.41,94,86,5.75,NU,1620848241
13,Zyryanka,65.75,150.85,33.6,75,100,5.91,RU,1620848242
14,Castro,-24.7911,-50.0119,56.43,98,100,1.41,BR,1620848242
15,São Filipe,14.8961,-24.4956,77.86,62,1,10.18,CV,1620848242
16,Salalah,17.0151,54.0924,84.04,79,40,5.75,OM,1620848045
17,Deputatsky,69.3,139.9,13.39,96,100,0.58,RU,1620848243
18,Arraial do Cabo,-22.9661,-42.0278,75.0,73,20,4.61,BR,1620848089
19,Cidreira,-30.1811,-50.2056,61.23,68,0,9.31,BR,1620848243
20,Nhulunbuy,-12.2333,136.7667,77.0,73,29,5.75,AU,1620848244
21,Saldanha,-33.0117,17.9442,56.86,85,0,9.8,ZA,1620848244
22,Busselton,-33.65,115.3333,46.94,69,99,12.24,AU,1620848244
23,Vostok,46.4856,135.8833,38.55,95,70,5.32,RU,1620848245
24,Bethel,41.3712,-73.414,63.16,38,20,1.01,US,1620848245
25,Hambantota,6.1241,81.1185,80.74,83,100,15.37,LK,1620848245
26,Baruun-Urt,46.6806,113.2792,43.21,34,1,7.25,MN,1620848246
27,Rikitea,-23.1203,-134.9692,77.88,77,51,19.42,PF,1620848246
28,Lokachi,50.737,24.6494,48.51,74,0,12.82,UA,1620848246
29,Hermanus,-34.4187,19.2345,51.66,83,1,2.26,ZA,1620848247
30,Faanui,-16.4833,-151.75,82.0,78,52,21.45,PF,1620848247
31,Jamestown,42.097,-79.2353,51.71,39,1,4.0,US,1620848000
32,Carnarvon,-24.8667,113.6333,62.6,100,0,5.75,AU,1620848248
33,Sabha,27.0377,14.4283,87.93,21,2,22.44,LY,1620848248
34,Punta Arenas,-53.15,-70.9167,47.79,84,75,14.29,CL,1620848183
35,Cape Town,-33.9258,18.4232,57.49,82,0,5.26,ZA,1620848194
36,Seoul,37.5683,126.9778,56.46,61,1,2.28,KR,1620847980
37,Albany,42.6001,-73.9662,59.77,35,88,1.01,US,1620848116
38,Mount Isa,-20.7333,139.5,56.59,39,0,12.66,AU,1620848249
39,Chokurdakh,70.6333,147.9167,4.57,98,87,2.15,RU,1620848250
40,Michigan City,41.7075,-86.895,53.2,50,1,11.5,US,1620848250
41,Ushuaia,-54.8,-68.3,51.22,43,40,14.97,AR,1620848250
42,Sørkjosen,69.8,20.9333,41.25,92,100,5.46,NO,1620848251
43,Tumen,42.9661,129.8425,46.36,96,95,2.33,CN,1620848251
44,Hong Kong,22.2855,114.1577,83.48,85,1,8.99,HK,1620847991
45,Puerto Ayora,-0.7393,-90.3518,78.15,75,72,11.05,EC,1620848252
46,Saint-Philippe,-21.3585,55.7679,72.77,83,35,8.77,RE,1620848252
47,Vanimo,-2.6741,141.3028,76.84,89,60,4.05,PG,1620848252
48,Seydi,39.4816,62.9137,76.71,23,0,10.87,TM,1620848253
49,Inírida,3.8653,-67.9239,79.14,91,76,2.42,CO,1620848253
50,Tomatlán,19.9333,-105.25,94.6,37,59,10.98,MX,1620848253
51,Saint Paul Harbor,57.79,-152.4072,43.88,81,90,11.5,US,1620848254
52,Yellowknife,62.456,-114.3525,44.01,57,40,5.01,CA,1620848009
53,Tsimmerbude,54.675,20.1347,64.36,76,53,13.98,RU,1620848254
54,Lagoa,39.05,-27.9833,62.51,85,97,14.14,PT,1620848254
55,Bluff,-46.6,168.3333,29.71,83,12,6.91,NZ,1620848255
56,Avarua,-21.2078,-159.775,71.49,100,75,4.61,CK,1620848255
57,Novosibirsk,55.0411,82.9344,44.47,44,6,3.24,RU,1620848255
58,East London,-33.0153,27.9116,61.93,76,6,5.99,ZA,1620848256
59,Vestmanna,62.1564,-7.1664,42.53,72,75,18.48,FO,1620848256
60,Kemijärvi,66.7131,27.4306,47.35,99,89,2.57,FI,1620848256
61,Baykit,61.67,96.37,32.13,92,30,1.79,RU,1620848257
62,Bredasdorp,-34.5322,20.0403,52.72,87,0,1.57,ZA,1620848257
63,Camacha,33.0833,-16.3333,62.74,72,40,10.36,PT,1620848258
64,Ingham,42.6,-84.3833,58.12,41,6,6.89,US,1620848258
65,Iranshahr,27.2025,60.6848,86.56,12,0,16.11,IR,1620848258
66,Mar del Plata,-38.0023,-57.5575,66.83,52,0,10.0,AR,1620848259
67,Saskylakh,71.9167,114.0833,32.07,99,100,4.83,RU,1620848259
68,Shirokiy,49.758,129.523,45.32,93,99,7.9,RU,1620848260
69,Saint-Augustin,51.226,-58.6502,44.42,63,100,17.69,CA,1620848260
70,Boyolangu,-8.1181,111.8935,76.05,90,100,3.76,ID,1620848260
71,Waddān,29.1614,16.139,74.23,39,0,18.1,LY,1620848261
72,Atuona,-9.8,-139.0333,79.75,80,26,20.18,PF,1620848020
73,Umluj,25.0213,37.2685,84.07,45,0,6.93,SA,1620848261
74,Madimba,-10.4,40.3333,72.79,87,100,9.86,TZ,1620848262
75,Biggar,55.6167,-3.5167,48.02,88,15,1.23,GB,1620848262
76,Pisco,-13.7,-76.2167,66.11,82,20,10.36,PE,1620848262
77,Verkh-Usugli,52.7,115.1667,32.0,67,0,4.83,RU,1620848263
78,College,64.8569,-147.8028,50.9,66,75,0.0,US,1620848259
79,Port Alfred,-33.5906,26.891,60.58,84,57,7.36,ZA,1620848263
80,Sitka,57.0531,-135.33,48.09,66,75,3.44,US,1620848263
81,Bambous Virieux,-20.3428,57.7575,74.89,69,40,14.63,MU,1620848264
82,Hualmay,-11.0964,-77.6139,70.5,73,10,7.54,PE,1620848264
83,Ostrovnoy,68.0531,39.5131,40.08,89,100,10.4,RU,1620848265
84,Ballina,-28.8667,153.5667,63.52,94,90,6.91,AU,1620848265
85,Kapaa,22.0752,-159.319,77.23,68,40,4.0,US,1620848233
86,Keetmanshoop,-26.5833,18.1333,58.32,24,0,8.05,NA,1620848265
87,Butaritari,3.0707,172.7902,82.63,75,100,12.37,KI,1620848266
88,Comodoro Rivadavia,-45.8667,-67.5,67.39,32,0,17.27,AR,1620848165
89,Huarmey,-10.0681,-78.1522,71.94,71,6,10.83,PE,1620848266
90,Alugan,12.2188,125.4808,80.24,84,13,10.71,PH,1620848267
91,Muros,42.7762,-9.0603,56.14,85,100,12.03,ES,1620848267
92,Savannah Bight,16.45,-85.85,91.4,81,8,24.85,HN,1620848267
93,Port Elizabeth,-33.918,25.5701,56.79,88,40,8.05,ZA,1620848268
94,Plouzané,48.3833,-4.6167,49.12,82,75,10.51,FR,1620848268
95,Kavieng,-2.5744,150.7967,80.85,78,99,4.72,PG,1620848268
96,Goundam,16.4145,-3.6708,98.31,9,34,11.25,ML,1620848269
97,Tombouctou,20.0,-3.0,97.23,8,6,11.5,ML,1620848269
98,Murray Bridge,-35.1167,139.2667,48.07,59,80,5.26,AU,1620848139
99,Krasnovishersk,60.4078,57.082,55.69,82,100,2.68,RU,1620848270
100,New Norfolk,-42.7826,147.0587,48.88,84,100,2.71,AU,1620848270
101,Quesnel,52.9999,-122.5029,51.33,54,90,3.44,CA,1620848070
102,Hilo,19.7297,-155.09,74.01,74,20,6.91,US,1620847981
103,Xuanzhou,30.9525,118.7553,66.92,97,20,2.57,CN,1620848271
104,Vila Franca do Campo,37.7167,-25.4333,64.09,72,35,5.53,PT,1620848271
105,Tuatapere,-46.1333,167.6833,29.71,82,6,3.83,NZ,1620848271
106,Lethem,3.3803,-59.7968,87.62,55,40,8.39,GY,1620848272
107,Dicabisagan,17.0818,122.4157,78.75,89,46,4.72,PH,1620848272
108,Serenje,-13.2325,30.2352,54.66,73,0,4.97,ZM,1620848052
109,Kalmunai,7.4167,81.8167,79.9,87,100,7.16,LK,1620848273
110,Kimbe,-5.5502,150.1429,75.18,95,98,2.68,PG,1620848273
111,Phayakkhaphum Phisai,15.5163,103.1937,83.37,64,28,6.71,TH,1620848273
112,Ulladulla,-35.35,150.4667,52.93,88,0,5.19,AU,1620848158
113,Kruisfontein,-34.0033,24.7314,51.37,86,3,4.23,ZA,1620848274
114,Mahajanga,-15.7167,46.3167,76.78,83,20,3.44,MG,1620848274
115,Horta,38.5333,-28.6333,65.44,82,20,11.5,PT,1620848204
116,Nyurba,63.2842,118.3319,30.63,72,2,4.12,RU,1620848275
117,Severo-Kuril'sk,50.6789,156.125,35.94,81,8,15.7,RU,1620848275
118,Nicoya,10.1483,-85.452,81.0,52,86,8.16,CR,1620848042
119,Egvekinot,66.3167,-179.1667,29.91,100,100,3.47,RU,1620848275
120,Chui,-33.6971,-53.4616,60.19,57,0,7.07,UY,1620848276
121,Fortuna,40.5982,-124.1573,52.81,93,90,9.22,US,1620848276
122,Sørland,67.667,12.6934,44.46,94,100,9.44,NO,1620848276
123,Darnétal,49.4453,1.1514,53.65,69,0,1.99,FR,1620848277
124,Hirara,24.8,125.2833,78.84,92,5,16.26,JP,1620848234
125,Bonavista,48.6499,-53.1147,50.0,77,100,6.35,CA,1620848277
126,Mahibadhoo,3.7833,72.9667,79.93,87,100,25.26,MV,1620848278
127,Bengkulu,-3.8004,102.2655,75.92,91,97,3.47,ID,1620848278
128,Qaanaaq,77.484,-69.3632,26.06,80,100,10.04,GL,1620848278
129,Lompoc,34.6391,-120.4579,66.87,72,90,8.05,US,1620848025
130,Mbigou,-1.9005,11.906,69.73,97,100,1.12,GA,1620848279
131,Savino,56.5929,41.2181,60.15,77,100,7.11,RU,1620848279
132,Marzuq,14.4,46.4667,81.72,49,32,4.52,YE,1620848280
133,Sur,22.5667,59.5289,87.13,56,100,10.47,OM,1620848280
134,Digby,44.6169,-65.7655,46.87,74,66,5.12,CA,1620848280
135,Thompson,55.7435,-97.8558,44.02,49,75,8.05,CA,1620848281
136,Leningradskiy,69.3833,178.4167,30.18,90,97,4.41,RU,1620848281
137,Sinjai,-5.1241,120.253,76.15,90,100,2.84,ID,1620848281
138,Ulaanbaatar,47.9077,106.8832,11.61,74,0,3.4,MN,1620848282
139,Emba,48.8264,58.1442,60.96,38,25,10.04,KZ,1620848282
140,Sola,-13.8833,167.55,80.2,79,92,12.33,VU,1620848282
141,Jieshi,22.8134,115.8257,80.2,87,64,7.78,CN,1620848283
142,Rocha,-34.4833,-54.3333,57.16,66,0,5.14,UY,1620848283
143,Podgornoye,51.735,39.1496,48.42,74,75,7.67,RU,1620848284
144,Asău,46.4333,26.4,54.23,95,100,3.18,RO,1620848284
145,Dvinskoy Bereznik,62.8551,42.7072,61.18,65,3,3.69,RU,1620848284
146,Laas,46.6166,10.7002,38.71,97,100,4.88,IT,1620848285
147,Banmankhi,25.8833,87.1833,76.55,70,55,6.73,IN,1620848285
148,Kaitangata,-46.2817,169.8464,33.93,85,22,4.03,NZ,1620848285
149,George Town,5.4112,100.3354,80.04,92,20,4.61,MY,1620848286
150,Port Hardy,50.6996,-127.4199,53.6,94,75,8.05,CA,1620848286
151,Grand Gaube,-20.0064,57.6608,75.85,76,37,4.0,MU,1620848286
152,Fort Nelson,58.8053,-122.7002,48.79,62,75,10.36,CA,1620848287
153,Nuuk,64.1835,-51.7216,44.47,53,1,5.75,GL,1620848287
154,Clyde River,70.4692,-68.5914,30.2,93,75,11.5,CA,1620848287
155,Korla,41.7597,86.1469,62.26,53,100,9.48,CN,1620848288
156,Hithadhoo,-0.6,73.0833,79.38,88,100,12.88,MV,1620848288
157,Mitsamiouli,-11.3847,43.2844,79.57,69,43,7.27,KM,1620848289
158,Ustupo,9.1333,-77.9333,82.27,84,100,4.72,PA,1620848289
159,Le Port,-20.9373,55.2919,76.78,75,0,2.66,RE,1620848289
160,Hobart,-42.8794,147.3294,51.1,89,100,1.99,AU,1620848139
161,Hervey Bay,-25.2986,152.8535,64.15,89,14,6.17,AU,1620848290
162,Aswān,24.0934,32.907,83.82,11,0,9.98,EG,1620848290
163,Westport,41.1415,-73.3579,65.34,34,20,1.99,US,1620848110
164,Eureka,40.8021,-124.1637,53.71,79,29,4.0,US,1620848291
165,Kiama,-34.6833,150.8667,55.49,92,7,1.99,AU,1620848292
166,Ponta do Sol,32.6667,-17.1,61.84,84,73,3.53,PT,1620848292
167,Turiaçu,-1.6633,-45.3717,78.01,93,84,4.61,BR,1620848293
168,Saint George,37.1041,-113.5841,74.3,10,1,3.0,US,1620848071
169,Nanortalik,60.1432,-45.2371,42.82,61,63,7.11,GL,1620848293
170,Honningsvåg,70.9821,25.9704,42.28,75,0,21.85,NO,1620848294
171,Cherskiy,68.75,161.3,17.01,92,100,4.5,RU,1620848294
172,Zhangye,38.9342,100.4517,60.64,23,5,5.35,CN,1620848294
173,Kaeo,-35.1,173.7833,49.78,85,1,4.63,NZ,1620848295
174,Meulaboh,4.1363,96.1285,78.03,90,94,4.43,ID,1620848295
175,Philadelphia,39.9523,-75.1638,66.45,31,40,1.01,US,1620848197
176,Shache,38.4167,77.2406,63.1,49,99,8.12,CN,1620848296
177,Kwinana,-32.25,115.7667,55.85,64,97,1.99,AU,1620848296
178,Khatanga,71.9667,102.5,28.56,97,98,10.49,RU,1620848296
179,Alta Floresta,-9.8756,-56.0861,88.0,43,40,5.75,BR,1620848297
180,Homer,59.6425,-151.5483,44.53,79,75,3.44,US,1620848060
181,Garoowe,8.4054,48.4845,80.38,58,100,18.68,SO,1620848297
182,Pevek,69.7008,170.3133,25.02,93,100,3.2,RU,1620848298
183,Taoudenni,22.6783,-3.9836,96.85,6,0,8.95,ML,1620848298
184,Nybro,56.7446,15.9071,53.65,88,77,3.36,SE,1620848298
185,Benguela,-12.5763,13.4055,77.34,81,5,0.89,AO,1620848109
186,Tías,28.9611,-13.645,65.75,68,20,20.71,ES,1620848299
187,São Geraldo do Araguaia,-6.4006,-48.555,82.02,80,47,1.81,BR,1620848299
188,Fort Frances,48.5999,-93.4003,62.65,21,20,5.01,CA,1620848229
189,Erenhot,43.6475,111.9767,51.35,40,100,7.85,CN,1620848300
190,Oneonta,42.4529,-75.0638,51.35,48,88,1.01,US,1620848300
191,Esperance,-33.8667,121.9,53.6,60,100,11.18,AU,1620848300
192,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,65.89,35,0,5.06,AR,1620848301
193,Ibrā’,22.6906,58.5334,84.0,48,84,4.52,OM,1620848301
194,Ziarat,30.3823,67.7282,58.82,21,0,7.9,PK,1620848302
195,Nelson Bay,-32.7167,152.15,57.78,95,20,10.56,AU,1620848302
196,Baldeogarh,24.755,79.0681,82.99,44,58,8.99,IN,1620848303
197,Vila Velha,-20.3297,-40.2925,80.65,58,0,4.0,BR,1620848303
198,Te Anau,-45.4167,167.7167,34.81,85,7,0.94,NZ,1620848303
199,Bilokurakyne,49.5341,38.7307,49.01,87,99,6.06,UA,1620848304
200,Sosnovka,56.255,51.2842,60.73,61,6,3.02,RU,1620848304
